Tehtävän numero;Nimi;Suorituspaikka;Suoritusohje
124;KÄÄNNÖS VASEMPAAN; (B); Koirakko tekee yhdessä tiiviin käännöksen vasempaan.
125;SEISO; (A); Ohjaajan pysähtyessä koira pysähtyy seisomaan ohjaajan viereen. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
126;ISTU, 1 ASKEL, ISTU, 2 ASKELTA, ISTU, 3 ASKELTA, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen eteenpäin ja pysähtyy, sitten kaksi askelta ja pysähtyy, lopuksi kolme askelta ja pysähtyy. Ohjaajan liikkuessa eteenpäin koira seuraa mukana ja ohjaajan pysähtyessä istuu ohjaajan viereen.
127;ETEEN ISTU, 1 ASKEL TAAKSE, ISTU, 2 ASKELTA TAAKSE, ISTU, 3 ASKELTA TAAKSE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Ohjaaja peruuttaa yhden askeleen ja pysähtyy, sitten kaksi askelta ja pysähtyy, lopuksi kolme askelta ja pysähtyy. Ohjaajan peruuttaessa koira liikkuu mukana ohjaajan edessä ja ohjaajan pysähtyessä koira istuu ohjaajan eteen. Koira siirtyy ohjaajan vasemmalle puolelle. Seuraaminen jatkuu vasemmalla.
128;ISTU, 1 ASKEL, SEISO; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen eteenpäin ja pysähtyy. Koira seuraa mukana ja ohjaajan pysähtyessä pysähtyy seisomaan ohjaajan viereen. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
129;ISTU, 1 ASKEL, MAAHAN; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen eteenpäin ja pysähtyy. Koira seuraa mukana ja ohjaajan pysähtyessä koira menee maahan ohjaajan viereen. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
130;ETEEN ISTU, OIKEALTA VASEMMALLE; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Koira siirtyy ohjaajan takaa vasemmalle puolelle. Seuraaminen jatkuu vasemmalla.
131;ETEEN ISTU, VASEMMALTA VASEMMALLE; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Koira siirtyy suoraan ohjaajan vasemmalle puolelle. Seuraaminen jatkuu vasemmalla.
132;ETEEN ISTU, OIKEALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Koira siirtyy ohjaajan takaa vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
133;ETEEN ISTU, VASEMMALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Koira siirtyy suoraan ohjaajan vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
134;VIISTO ASKEL OIKEALLE; (B); Koirakon liikkuessa ohjaaja ottaa yhden askeleen 45° etuviistoon oikeaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa eteenpäin kyltin oikealta puolelta.
135;KAHDEKSIKKO; (B); Kaksi kartiota on asetettu 2,5–3 metrin etäisyydelle toisistaan. Koirakko kiertää kahdeksikon kartioiden ympäri tuomarin määräämällä tavalla ylittäen kartioiden välisen linjan kolme kertaa.
136;OHJAAJAN YMPÄRI; (A); Ohjaajan pysähtyessä koira kiertää pysähtymättä ohjaajan ympäri etukautta ohjaajan seistessä paikallaan.

201;2 x TÄYSKÄÄNNÖS, KOIRA TAKAA; (A); Ohjaaja tekee täyskäännöksen koiraa kohti koiran kiertäessä ohjaajan takaa, etenee 1–2 metriä ja tekee uuden täyskäännöksen koiraa kohti koiran kiertäessä ohjaajan takaa. Koirakko jatkaa alkuperäiseen kulkusuuntaansa.
202;2 x TÄYSKÄÄNNÖS, OIKEAAN JA VASEMPAAN; (A); Koirakko tekee yhdessä tiiviin täyskäännöksen oikeaan, etenee 1–2 metriä ja tekee tiiviin täyskäännöksen vasempaan. Koirakko jatkaa alkuperäiseen kulkusuuntaansa.
203;2 x TÄYSKÄÄNNÖS, VASEMPAAN JA OIKEAAN; (A); Koirakko tekee yhdessä tiiviin täyskäännöksen vasempaan, etenee 1–2 metriä ja tekee tiiviin täyskäännöksen oikeaan. Koirakko jatkaa alkuperäiseen kulkusuuntaansa.
204;ISTU, MAAHAN, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira menee maahan, josta nousee istumaan.
205;ISTU, SEISO; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira nousee seisomaan. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
206;ISTU, SEISO, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira nousee seisomaan, josta menee istumaan.
207;ISTU, SEISO, MAAHAN; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira nousee seisomaan, josta menee maahan. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
208;ISTU, SEISO, KIERRÄ KOIRA; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira nousee seisomaan ja ohjaaja kiertää koiran ympäri etukautta, palaa koiran viereen ja pysähtyy. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
209;ISTU, ETEEN ISTU, OIKEALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira siirtyy ohjaajan eteen istumaan ja siitä ohjaajan takaa vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
210;ISTU, ETEEN ISTU, VASEMMALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira siirtyy ohjaajan eteen istumaan ja siitä suoraan ohjaajan vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
211;ISTU, 1 ASKEL, KÄÄNNÖS OIKEAAN, 1 ASKEL, KUTSU, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira pysyy istumassa, kun ohjaaja ottaa yhden askeleen eteenpäin. Ohjaaja pysähtyy ja kääntyy oikealle, ottaa yhden askeleen ja pysähtyy. Lopuksi koira kutsutaan ohjaajan viereen istumaan. Seuraamispuoli ei vaihdu.
212;ISTU, 1 ASKEL, KÄÄNNÖS VASEMPAAN, 1 ASKEL, KUTSU, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira pysyy istumassa, kun ohjaaja ottaa yhden askeleen eteenpäin. Ohjaaja pysähtyy ja kääntyy vasemmalle, ottaa yhden askeleen ja pysähtyy. Lopuksi koira kutsutaan ohjaajan viereen istumaan. Seuraamispuoli ei vaihdu.
213;ISTU, TÄYSKÄÄNNÖS OIKEAAN; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen oikeaan.
214;ISTU, TÄYSKÄÄNNÖS VASEMPAAN; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen vasempaan.
215;ISTU, TÄYSKÄÄNNÖS OIKEAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen oikeaan, pysähtyy ja koira istuu.
216;ISTU, TÄYSKÄÄNNÖS VASEMPAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen vasempaan, pysähtyy ja koira istuu.
217;ISTU, KÄÄNNÖS OIKEAAN, 1 ASKEL, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja kääntyy oikeaan, ottaa yhden askeleen ja pysähtyy. Koira seuraa mukana ja istuu ohjaajan pysähtyessä.
218;ISTU, KÄÄNNÖS VASEMPAAN, 1 ASKEL, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja kääntyy vasempaan, ottaa yhden askeleen ja pysähtyy. Koira seuraa mukana ja istuu ohjaajan pysähtyessä.
219;ISTU, 1 ASKEL, SEISO, 2 ASKELTA, ISTU, 3 ASKELTA, MAAHAN; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen eteenpäin ja pysähtyy. Koira seuraa ja jää seisomaan ohjaajan pysähtyessä. Ohjaaja ottaa kaksi askelta ja pysähtyy. Koira seuraa ja istuu ohjaajan pysähtyessä. Ohjaaja ottaa kolme askelta ja pysähtyy. Koira seuraa ja menee maahan ohjaajan pysähtyessä. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
220;PYÖRÄHDYS; (A); Koirakon liikkuessa koira tekee pyörähdyksen eteenpäin, ohjaajasta poispäin.
221;HOUKUTUS; (B); Kaksi kartiota on asetettu 2,5–3 metrin päähän toisistaan. Kahden houkutuksen etäisyys toisistaan on 1,5–2 metriä. Kartiot ja houkutukset muodostavat vinoneliön. Koirakko kiertää kahdeksikon kartioiden ympäri tuomarin määräämällä tavalla ylittäen houkutusten välisen linjan kolme kertaa.
222;LÄHETYS ESTEEN YLI; (D); Koira lähetetään hyppyesteen yli aikaisintaan kyltillä. Ohjaaja jatkaa matkaa esteen ohi.
223;KÄÄNNÖS VASEMPAAN, OHJAAJAN YMPÄRI; (B); Ohjaaja tekee käännöksen vasempaan koiran kiertäessä pysähtymättä ohjaajan ympäri myötäpäivään.
224;SEISO, 1 ASKEL TAAKSE, SEISO; (A); Ohjaajan pysähtyessä koira pysähtyy seisomaan ohjaajan viereen. Ohjaaja ottaa yhden askeleen taaksepäin koiran peruuttaessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira jää seisomaan ohjaajan viereen. Koira pysyy seisomassa, kunnes koirakko jatkaa eteenpäin.
225;VIISTO ASKEL VASEMPAAN; (B); Koirakon liikkuessa ohjaaja ottaa yhden askeleen 45° etuviistoon vasempaan ja koira seuraa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa kyltin vasemmalta puolelta.

301;SIVUASKEL OIKEAAN; (B); Koirakon liikkuessa ohjaaja ottaa yhden askeleen oikeaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa kyltin oikealta puolelta.
302;SIVUASKEL VASEMPAAN; (B); Koirakon liikkuessa ohjaaja ottaa yhden askeleen vasempaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa kyltin vasemmalta puolelta.
303;ISTU, SIVUASKEL OIKEAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen oikeaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira istuu. Koirakko jatkaa kyltin oikealta puolelta.
304;ISTU, SIVUASKEL VASEMPAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askeleen vasempaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira istuu. Koirakko jatkaa kyltin vasemmalta puolelta.
305;ISTU, 1 ASKEL TAAKSE, ISTU, 2 ASKELTA TAAKSE, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa yhden askelen taaksepäin ja pysähtyy, sitten kaksi askelta ja pysähtyy. Ohjaajan peruuttaessa koira peruuttaa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira istuu ohjaajan viereen.
306;ETEEN ISTU, 1 ASKEL TAAKSE, SEISO, 2 ASKELTA TAAKSE, ISTU, 3 ASKELTA TAAKSE, MAAHAN, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan eteen. Ohjaajan peruuttaessa koira liikkuu mukana ohjaajan edessä ja ohjaajan pysähtyessä koira ottaa määrätyn asennon. Ohjaajan peruutettua yhden askeleen koira seisoo, ohjaajan peruutettua kaksi askelta koira istuu ja ohjaajan peruutettua kolme askelta koira menee maahan. Koira siirtyy ohjaajan vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
307;SEISO, TÄYSKÄÄNNÖS OIKEAAN, SEISO; (B); Ohjaajan pysähtyessä koira pysähtyy seisomaan ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen oikealle ja pysähtyy, koira jää seisomaan. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
308;SEISO, TÄYSKÄÄNNÖS VASEMPAAN, SEISO; (B); Ohjaajan pysähtyessä koira pysähtyy seisomaan ohjaajan viereen. Koirakko tekee yhdessä tiiviin täyskäännöksen vasemmalle ja pysähtyy, koira jää seisomaan. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
309;SEISO, OHJAAJAN YMPÄRI, SEISO; (A); Ohjaajan pysähtyessä koira pysähtyy seisomaan ohjaajan viereen. Koira kiertää ohjaajan ympäri etukautta ja palaa alkuperäiselle paikalleen ohjaajan viereen seisomaan. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
310;TÄYSKÄÄNNÖS VASTAKKAIN; (B); Koirakon liikkuessa molemmat tekevät tiiviin, samanaikaisen täyskäännöksen toisiaan kohti. Seuraamispuoli vaihtuu.
311;PUOLENVAIHTO TAKAA; (A); Koirakon liikkuessa koira tekee puolenvaihdon ohjaajan takaa. Koira ei saa pyörähtää puolenvaihdossa. Seuraamispuoli vaihtuu.
312;PUOLENVAIHTO JALKOJEN VÄLISTÄ; (A); Koirakon liikkuessa koira tekee puolenvaihdon ohjaajan jalkojen välistä. Ohjaaja saa pysähtyä ja nostaa jalkaansa tehdäkseen puolenvaihdosta sujuvan. Seuraamispuoli vaihtuu.
313;MOLEMMAT TÄYSKÄÄNNÖS OIKEAAN; (B); Koirakon liikkuessa molemmat tekevät tiiviin, samanaikaisen täyskäännöksen oikeaan. Seuraamispuoli vaihtuu.
314;MOLEMMAT TÄYSKÄÄNNÖS VASEMPAAN; (B); Koirakon liikkuessa molemmat tekevät tiiviin, samanaikaisen täyskäännöksen vasempaan. Seuraamispuoli vaihtuu.
315;ISTU, PUOLENVAIHTO TAKAA, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira vaihtaa puolta ohjaajan takaa ja istuu. Koira ei saa pyörähtää puolta vaihtaessaan. Seuraamispuoli vaihtuu.
316;ISTU, PUOLENVAIHTO EDESTÄ, ISTU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira vaihtaa puolta ohjaajan edestä ja istuu. Koiran pitää pyörähtää puolta vaihtaessaan. Seuraamispuoli vaihtuu.
317;LIIKKEESTÄ SEISO, KIERRÄ KOIRA; (A); Koirakon liikkuessa koira pysähtyy seisomaan ja ohjaaja pysähtymättä kiertää koiran ympäri etukautta, palaa koiran viereen ja pysähtyy. Koira pysyy seisomassa, kunnes koirakko lähtee liikkeelle.
318;LIIKKEESTÄ MAAHAN, KIERRÄ KOIRA; (A); Koirakon liikkuessa koira menee maahan ja ohjaaja pysähtymättä kiertää koiran ympäri etukautta, palaa koiran viereen ja pysähtyy. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
319;ISTU, SEISO, JÄTÄ KOIRA; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira nousee seisomaan. Ohjaaja kävelee ilman koiraa joko kutsukyltille tai kutsukartion ohi (C) ja kutsuu koiran seuraamaan. Koira pysyy seisomassa, kunnes ohjaaja kutsuu koiraa. Kartiota käytettäessä luoksetulo on osa tätä tehtävää. Seuraamispuoli ei vaihdu.
320;LÄHETYS KAHDEN ESTEEN YLI; (D); Kaksi estettä on sijoitettu suoraan linjaan tai enintään 90° kulmaan neljän metrin etäisyydelle toisistaan. Koira lähetetään kahden hyppyesteen yli aikaisintaan kyltillä. Ohjaaja jatkaa matkaa esteen ohi.
321;TÄYSKÄÄNNÖS, KUTSU; (B); Tätä kylttiä voi käyttää vain kylttien 319, 408 ja 409 jälkeen. Kyltti on sijoitettu 3–5 metrin päähän edellisestä kyltistä. Ohjaaja tekee täyskäännöksen, pysähtyy ja kutsuu koiraa. Ohjaaja saa pysähtyä ennen täyskäännöstä. Koira tulee joko takaa tai suoraan ohjaajan vasemmalle puolelle ilman istumista. Seuraaminen jatkuu vasemmalla.
322;TÄYSKÄÄNNÖS, KUTSU ETEEN, ISTU, OIKEALTA VASEMMALLE, ISTU; (B); Tätä kylttiä voi käyttää vain kylttien 319, 408 ja 409 jälkeen. Kyltti on sijoitettu 3–5 metrin päähän edellisestä kyltistä. Ohjaaja tekee täyskäännöksen, pysähtyy ja kutsuu koiraa. Ohjaaja saa pysähtyä ennen täyskäännöstä. Koira istuu ohjaajan eteen ja siirtyy ohjaajan takaa vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
323;TÄYSKÄÄNNÖS, KUTSU ETEEN, ISTU, VASEMMALTA VASEMMALLE, ISTU; (B); Tätä kylttiä voi käyttää vain kylttien 319, 408 ja 409 jälkeen. Kyltti on sijoitettu 3–5 metrin päähän edellisestä kyltistä. Ohjaaja tekee täyskäännöksen, pysähtyy ja kutsuu koiraa. Ohjaaja saa pysähtyä ennen täyskäännöstä. Koira istuu ohjaajan eteen ja siitä suoraan ohjaajan vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
324;KÄÄNNÖS OIKEAAN, OHJAAJAN YMPÄRI; (B); Ohjaaja tekee käännöksen oikeaan koiran kiertäessä pysähtymättä ohjaajan ympäri vastapäivään.
325;ETEEN SEISO, OIKEALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira siirtyy seisomaan ohjaajan eteen ja siitä ohjaajan takaa vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.
326;ETEEN SEISO, VASEMMALTA VASEMMALLE, ISTU; (A); Ohjaajan pysähtyessä koira siirtyy seisomaan ohjaajan eteen. Koira siirtyy suoraan ohjaajan vasemmalle puolelle istumaan. Seuraaminen jatkuu vasemmalla.

401;2 SIVUASKELTA OIKEAAN; (B); Koirakon liikkuessa ohjaaja ottaa kaksi askelta oikeaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa kyltin oikealta puolelta.
402;2 SIVUASKELTA VASEMPAAN; (B); Koirakon liikkuessa ohjaaja ottaa kaksi askelta vasempaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Koirakko jatkaa kyltin vasemmalta puolelta.
403;ISTU, 2 SIVUASKELTA OIKEAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa kaksi askelta oikeaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira istuu. Koirakko jatkaa kyltin oikealta puolelta.
404;ISTU, 2 SIVUASKELTA VASEMPAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaaja ottaa kaksi askelta vasempaan koiran seuratessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa. Ohjaajan pysähtyessä koira istuu. Koirakko jatkaa kyltin vasemmalta puolelta.
405;TÄYSKÄÄNNÖS POISPÄIN; (B); Koirakon liikkuessa molemmat tekevät tiiviin ja yhdenaikaisen täyskäännöksen poispäin toisistaan. Seuraamispuoli vaihtuu.
406;PUOLENVAIHTO EDESTÄ; (A); Koirakon liikkuessa koira tekee puolenvaihdon ohjaajan edestä. Koira ei saa pyörähtää puolta vaihtaessaan. Seuraamispuoli vaihtuu.
407;LIIKKEESSÄ OHJAAJAN YMPÄRI; (A); Koirakon liikkuessa koira kiertää ohjaajan ympäri etukautta ja palaa alkuperäiselle seuraamispaikalleen.
408;LIIKKEESTÄ ISTU, JÄTÄ KOIRA; (A); Koirakon liikkuessa koira istuu ja ohjaaja jatkaa pysähtymättä joko kutsukyltille tai kutsukartion ohi (C) ja kutsuu koiran seuraamaan. Koira pysyy istumassa, kunnes ohjaaja kutsuu koiraa. Kartiota käytettäessä luoksetulo on osa tätä tehtävää. Seuraamispuoli ei vaihdu.
409;LIIKKEESTÄ MAAHAN, JÄTÄ KOIRA; (A); Koirakon liikkuessa koira menee maahan ja ohjaaja jatkaa pysähtymättä joko kutsukyltille tai kutsukartion ohi (C) ja kutsuu koiran seuraamaan. Koira pysyy maassa, kunnes ohjaaja kutsuu koiraa. Kartiota käytettäessä luoksetulo on osa tätä tehtävää. Seuraamispuoli ei vaihdu.
410;ISTU, LÄHETÄ KOIRA, SEISO, KUTSU; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko saa pysähtyessään kääntyä kohti kartiota. Ohjaaja lähettää koiran seisomaan kartion luo. Koira pysyy seisomassa kartion luona, kun ohjaaja kävelee kutsukartion ohi (C) ja kutsuu koiran seuraamaan. Seuraamispuoli ei vaihdu.
411;ETEEN SEISO, PERUUTA, SEISO; (A); Ohjaajan pysähtyessä koira siirtyy ohjaajan eteen seisomaan. Koira peruuttaa vähintään kolme rungonmittaansa poispäin ohjaajasta ja pysähtyy seisomaan. Ohjaaja kävelee rataa eteenpäin koiran luo/linjalle ja kutsuu pysähtymättä koiran vasemmalle seuraamispuolelle. Seuraaminen jatkuu vasemmalla.
412;3 ASKELTA TAAKSE; (A); Koirakon liikkuessa ohjaaja ottaa vähintään kolme askelta taaksepäin koiran peruuttaessa samassa linjassa ja rintamasuunnassa ohjaajan kanssa.
413;ISTU, 1 ASKEL TAAKSE SEISO, 2 ASKELTA TAAKSE ISTU, 3 ASKELTA TAAKSE MAAHAN; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Ohjaajan peruuttaessa koira peruuttaa samassa linjassa ja rintamasuunnassa ohjaajan vieressä ja ohjaajan pysähtyessä koira ottaa määrätyn asennon. Ohjaajan peruutettua yhden askeleen koira seisoo, ohjaajan peruutettua kaksi askelta koira istuu ja ohjaajan peruutettua kolme askelta koira menee maahan. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
414;ISTU, KÄÄNNÖS OIKEAAN, SEISO, KÄÄNNÖS OIKEAAN, ISTU, KÄÄNNÖS OIKEAAN, MAAHAN; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä käännöksen oikeaan, pysähtyy ja koira seisoo. Koirakko tekee yhdessä käännöksen oikeaan, pysähtyy ja koira istuu. Koirakko tekee yhdessä käännöksen oikeaan, pysähtyy ja koira menee maahan. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
415;ISTU, KÄÄNNÖS VASEMPAAN, SEISO, KÄÄNNÖS VASEMPAAN, ISTU, KÄÄNNÖS VASEMPAAN, MAAHAN; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä käännöksen vasempaan, pysähtyy ja koira seisoo. Koirakko tekee yhdessä käännöksen vasempaan, pysähtyy ja koira istuu. Koirakko tekee yhdessä käännöksen vasempaan, pysähtyy ja koira menee maahan. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
